1,Dhaula Kuan / A.R.S.D. College,6:50,0:00,0:00
2,Satya Niketan,6:51,6:50,0:01
3,Moti Bagh Gurudwara Nanakpura,6:53,6:51,0:02
4,South Moti Bagh,6:56,6:53,0:03
5,R.K. Puram Sector 12,6:57,6:56,0:01
6,Sangam Cinema,6:59,6:57,0:02
7,R.K. Puram Sector 10,7:01,6:59,0:02
8,Mohan Singh Market,7:03,7:01,0:02
9,R.K. Puram Sector 1 & 2,7:04,7:03,0:01
10,R.K. Puram Sector 1,7:06,7:04,0:02
11,R.K. Puram / N.A.B.,7:07,7:06,0:01
12,Munirka,7:08,7:07,0:01
13,Munirka / Family Planning Association of India,7:09,7:08,0:01
14,D.D.A. Flats Munirka,7:10,7:09,0:01
15,I.S.T.M.,7:11,7:10,0:01
16,Ber Sarai,7:12,7:11,0:01
17,School of Physical Science,7:15,7:12,0:03
18,F.A.I.,7:16,7:15,0:01
19,Sanskrit Vidyapeeth,7:17,7:16,0:01
20,Katwaria Sarai,7:19,7:17,0:02
21,Qutub Hotel,7:20,7:19,0:01
22,NCERT,7:21,7:20,0:01
23,Adhchini Village,7:22,7:21,0:01
24,The Mothers International School,7:23,7:22,0:01
25,I I T Gate Bus Stop,7:24,7:23,0:01
26,Sarvapriya Vihar,7:25,7:24,0:01
27,Panchsheel Enclave,7:27,7:25,0:02
28,Swami Nagar,7:32,7:27,0:05
29,Masjid Moth,7:35,7:32,0:03
30,OS Communication Bus Stop,7:37,7:36,0:01
31,Pamposh Enclave,7:38,7:37,0:01
32,Nehru Place Terminal,7:41,7:38,0:03
33,Paras Cinema,7:42,7:41,0:01
34,Kalkaji Mandir Bus Stop,7:43,7:42,0:01
35,Govind Puri Metro Station,7:44,7:43,0:01
36,Kalkaji Depot,7:46,7:44,0:02
37,C Lal Chowk,7:48,7:46,0:02
38,Okhla Phase 1,7:53,7:48,0:05
39,Central Workshop,7:55,7:53,0:02
40,Tehkhand Depot,7:56,7:55,0:01
41,Prem Nagar,7:58,7:56,0:02
42,Lal Kuan,8:00,7:58,0:02
43,Suraj Kund Crossing,8:02,8:00,0:02
44,Prahlad Pur,8:04,8:02,0:02
45,Rajiv Gandhi Stadium,8:07,8:04,0:03
46,Jaitpur Crossing,8:08,8:07,0:01
47,Badarpur Border,8:09,8:08,0:01
